video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=qLmwxFE5GV8&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@KING5Seattle,KING 5 Seattle,Encampment residents at Seattle's Green Lake struggle to find new places to live,6.1K,4 years,"Ahead of the City of Seattle's clearing of the Green Lake encampment, those living there are rushing to save their only ...",2026-01-18 23:28:19.818005
/watch?v=N6XXv9R2_eg&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@BestSideCycling,Best Side Cycling,New Green Lake & Wallingford Bike Lanes [4K][Seattle],1.2K,4 years,Join me as we go ride on the 2-3 year long effort up revamping the Greenlake and Wallingford corridor with new roads and bike ...,2026-01-18 23:28:19.819806
/watch?v=ONQ6ijFvPbE&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@KING5Seattle,KING 5 Seattle,Man accused of pepper spraying family at Green Lake Park,261,7 years,"A man is facing charges, accused of pepper spraying a father and his toddler in a Seattle park.",2026-01-18 23:28:19.823581
/watch?v=hggmEd7NBDc&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@ConceptExecute,Architecture & Interior Design,"Greenlake Skatepark - Seattle, WA",830,5 years,A day skating at Greenlake Skatepark on Go Skate Day 2020.,2026-01-18 23:28:19.824885
/watch?v=U5UJLnHL7n8&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@teamupseattle,TeamUp Seattle Real Estate at Ensemble,1338 N 77th St - Green Lake - Seattle Property Video from Michael Ackerman,707,14 years,Listed May 2011! Go for a run around the lake at dusk. Pop into Spud's for some delicious fish and chips. Relax on your own front ...,2026-01-18 23:28:19.828406
/watch?v=HnMuWkO4YxU&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@WalkSignals,Walk Signals,"Walking Seattle - Green Lake  to U District Loop, part 1 of 2",1.2K,4 years,We walk from Green Lake Community Center to the University District and back on a sunny late winter weekday. We also walk ...,2026-01-18 23:28:28.864439
/watch?v=9f7-suYqL1w&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@KING5Seattle,KING 5 Seattle,Ceremony on Seattle's Green Lake remembers dropping of the atomic bombs,2.8K,2 years,The ceremony is in honor of those who died in Hiroshima and Nagasaki nearly 80 years ago.,2026-01-18 23:28:28.865559
/shorts/LiHdpFKx-fQ,/@michaelarnold2728,Michael Arnold-My Adventures,2025.01.27: Seattle Greenlake-Walking to Meet My Cousin,315,11 months,Walking through the beautiful Greenlake Park in Seattle and ready to meet my cousin for lunch.,2026-01-18 23:28:28.868783
/shorts/1xFJaLUY9_M,/@funkcaptmax,Max Berde,Friendly Ducks at Green Lake in Seattle - Spring 2023,602,2 years,by IG: @CoolHandLukey.,2026-01-18 23:28:28.869904
/watch?v=1KMwaLnpxn8&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@PNW4K,PNW 4K,"【4K Ultra HD】 Biking Around Greenlake in Seattle WA Washington USA, Summer 2021",1.6K,4 years,"Green Lake is a freshwater lake in north central Seattle, Washington, within Green Lake Park. The park is surrounded by the ...",2026-01-18 23:28:28.871022
/watch?v=ShcFa2uA9t4&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@JimReppond,Jim Reppond,"Greenlake, Seattle",4.1K,17 years,Seattle Greenlake Neighborhood - Starbucks and Duke's Chowder House.,2026-01-18 23:28:28.873002
/watch?v=2eW0Tu78DSo&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@pritisworld2598,priti's world,Green Lake Seattle (WA) / Unbelievable Homeless Slums/USA Vlog,1.4K,4 years,"Green Lake Seattle (WA) # Unbelievable Homeless Slums # Homeless slums # priti's world if you like my video please like,share ...",2026-01-18 23:28:28.874025
/watch?v=cMSZ9kp0k5c&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@No.1THAI,No.1 THAI ,Seattle Refined & Noi Thai Cuisine Green Lake,7.2K,2 years,... Cuisine has two locations in Seattle one on Green Lake and another downtown to learn more head to noi Thai cuisine.com.,2026-01-18 23:28:28.875112
/watch?v=Lo_vcqrg61Y&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@fox13seattle,FOX 13 Seattle,Beth's Cafe near Green Lake reopens | FOX 13 Seattle,1.4K,2 years,"Beth's Cafe, a very popular breakfast joint in Seattle that is known for its 12-egg omelette, is back open Subscribe to FOX 13 ...",2026-01-18 23:28:28.878044
/watch?v=HP-I4FRvhA0&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@KING5Seattle,KING 5 Seattle,Seattle Mayor Harrell urges city council to address homelessness near Green Lake,4.7K,3 years,"An encampment was cleared at Woodland Park, but not everyone living there was housed and some have moved to other areas ...",2026-01-18 23:28:28.879422
/watch?v=kkTG1i7fEmo&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@RogerMorrisSeattle,Roger Morris,"Green Lake, Seattle - On the Road with Roger",323,10 years,"Green Lake! On the Road with Roger - Roger Morris Real Estate, Seattle, WA | The Green Lake neighborhood, aptly named for ...",2026-01-18 23:28:28.880502
/watch?v=gJCKQvNjGww&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@ParkerJobs,Parker Staffing,"Where Parker People Live: Green Lake | Seattle, WA",860,9 years,"Are you thinking about moving to Seattle, but are unsure about which neighborhood is the right place for you? Our colleagues ...",2026-01-18 23:28:28.882179
/watch?v=G5sd5jpCdRs&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@TravelwithMarsandAnt,TWB with Marlie and Anthony Love,Our experience visiting the Seattle Neighborhoods of Roosevelt and Greenlake! |TWB,1.6K,4 years,"Episode 63: On this week's episode of Traveling While Black in Seattle, we headed to the Roosevelt neighborhood and then to ...",2026-01-18 23:28:28.884707
/watch?v=2SetLA2N-NE&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@beesoung,Wild Trails & Fungi Tales,Green Lake Park Seattle,266,5 years,This beautiful park is the perfect place to find fall colors. It is located in North Central Seattle and it's the ideal location for a ...,2026-01-18 23:28:28.885809
/watch?v=WUIM1_1F1IY&pp=ygUSZ3JlZW4gbGFrZSBzZWF0dGxl,/@SeattleRefined,Seattle Refined,Affordable Green Lake course offers 'No Contact Golf',396,5 years,"Any golfer will tell you, the sport is as difficult as it is rewarding — but there may not be an easier place in Seattle to find your ...",2026-01-18 23:28:28.886908
